year,H1.delta1b-N2.2002A,H3.cluster_iva-N2.2002B,H1.delta1a-N2.2002B,H1.delta2-N2.1998B,H3.cluster_ivb-N2.2002B,H1.delta1a-N2.2002A,H3.2010.1-N2.2002B,H3.cluster_iva-N2.2002A,H3.2010.1-N2.2002A,H1.alpha-N2.2002B
2009,2,,,1,,2,,,,
2010,64,,,13,12,9,,1,,
2011,271,,,8,12,11,,62,,
2012,149,45,,1,82,11,,41,,
2013,138,119,1,11,60,32,,32,,1
2014,60,186,16,63,39,44,2,23,3,1
2015,49,147,152,97,33,63,17,12,24,15
2016,59,58,122,94,21,35,15,4,67,41
2017,36,21,118,88,15,17,99,11,73,62
2018,17,12,44,73,11,8,86,20,34,39